 037973,7/8/2015	20:58:40,21:01:37,178,WHEEL,170,00.0,8.3,12.0,000
 038151,7/8/2015	21:01:38,21:01:45,8,SLNGE,002,87.5,8.3,11.7,002
 038159,7/8/2015	21:01:46,21:02:04,19,EFODA,0.013,73.7,9.3,18.7,011
 038178,7/8/2015	21:02:05,21:02:09,5,SLNGE,006,100.0,9.0,18.7,006
 038183,7/8/2015	21:02:10,21:07:28,319,WHEEL,308,00.0,8.8,14.8,000
 038502,7/8/2015	21:07:29,21:07:50,22,SLNGE,037,63.6,8.3,14.3,037
 038524,7/8/2015	21:07:51,21:14:09,379,WHEEL,373,00.0,8.1,8.4,000
 038903,7/8/2015	21:14:10,21:14:21,12,SLNGE,001,100.0,7.7,7.0,001
 038915,7/8/2015	21:14:22,21:14:55,34,EFODA,0.013,55.9,9.4,19.3,013
 038949,7/8/2015	21:14:56,21:14:59,4,SLNGE,003,100.0,9.8,19.5,003
 038953,7/8/2015	21:15:00,21:15:01,2,DWATR,0.029,100.0,6.1,21.6,000
 038955,7/8/2015	21:15:02,21:15:17,16,SLNGE,021,06.3,7.4,22.9,021
 038971,7/8/2015	21:15:18,21:21:57,400,WHEEL,384,00.0,8.9,9.7,000
 039371,7/8/2015	21:21:58,21:22:07,10,SLNGE,000,90.0,7.9,7.0,000
 039381,7/8/2015	21:22:08,21:22:20,13,TFODA,0,61.5,8.9,18.9,013
 039394,7/8/2015	21:22:21,21:22:29,9,SLNGE,016,22.2,7.5,19.0,016
 039403,7/8/2015	21:22:30,21:25:46,197,WHEEL,197,00.0,8.1,8.5,000
 039600,7/8/2015	21:25:47,21:25:56,10,SLNGE,002,90.0,7.9,7.7,002
 039610,7/8/2015	21:25:57,21:29:50,234,TFODA,0,53.4,13.0,19.7,019
 039844,7/8/2015	21:29:51,21:30:19,29,SLNGE,013,17.2,8.0,21.4,013
 039873,7/8/2015	21:30:20,21:32:53,154,IHOME,13.622,00.0,6.3,16.5,000
 040027,7/8/2015	21:32:54,21:33:04,11,SLNGE,007,18.2,6.7,15.5,007
 040038,7/8/2015	21:33:05,21:40:56,472,WHEEL,441,00.0,9.5,12.3,000
 040510,7/8/2015	21:40:57,21:41:33,37,SLNGE,051,54.1,8.1,17.0,051
 040547,7/8/2015	21:41:34,21:41:36,3,WHEEL,003,00.0,5.5,13.3,000
 040550,7/8/2015	21:41:37,21:41:49,13,SLNGE,002,61.5,5.5,13.0,002
 040563,7/8/2015	21:41:50,21:42:23,34,IHOME,13.543,00.0,5.8,12.3,000
 040597,7/8/2015	21:42:24,21:42:41,18,SLNGE,027,11.1,6.8,15.7,027
 040615,7/8/2015	21:42:42,21:47:29,288,WHEEL,279,00.0,8.4,9.3,000
 040903,7/8/2015	21:47:30,21:47:56,27,SLNGE,023,37.0,6.6,10.1,023
 040930,7/8/2015	21:47:57,21:49:38,102,WHEEL,103,00.0,9.3,13.0,000
 041032,7/8/2015	21:49:39,21:53:30,232,LLNGE,043,06.9,6.7,25.0,043
 041264,7/8/2015	21:53:31,21:54:35,65,IHOME,13.815,00.0,6.0,10.5,000
 041329,7/8/2015	21:54:36,21:54:44,9,SLNGE,002,00.0,6.2,10.4,002
